shinji	kyuji	inherited
蚕	蠶	
蛍	螢	
蛮	蠻	
衛	衞	
装	裝	
褒	襃	
覇	霸	
覚	覺	
覧	覽	
観	觀	
触	觸	
訳	譯	
証	證	
誉	譽	
説	說	
読	讀	
謡	謠	
譜	𧭘	譜
譲	讓	
豊	豐	
賛	贊	
践	踐	
転	轉	
軽	輕	
辞	辭	
辺	邊	
逓	遞	
遅	遲	
郎	郞	
郷	鄕	
酔	醉	
醸	釀	
釈	釋	
鉄	鐵	
鉱	鑛	
銭	錢	
鋭	銳	
鋳	鑄	
錬	鍊	
録	錄	
鎮	鎭	
間	閒	
関	關	
閲	閱	
闘	鬭	
陥	陷	
険	險	
随	隨	
隠	隱	
隷	隸	
雑	雜	
霊	靈	
青	靑	
静	靜	
頼	賴	
顔	顏	
顕	顯	
飲	飮	
餅	餠	餅
駅	驛	
駆	驅	
騒	騷	
験	驗	
髄	髓	
髪	髮	
鶏	鷄	
麦	麥	
麺	麵	
黄	黃	
黒	黑	
黙	默	
齢	齡	
# 人名用漢字 新字体*⁴		
亘	亙	
兎	兔	
凛	凜	
厨	廚	
厩	廏	
尭	堯	
巌	巖	
彦	彥	
晋	晉	
桧	檜	
槙	槇	
熙	煕	
瑶	瑤	
祢	禰	
祷	禱	
禄	祿	
穣	穰	
聡	聰	
芦	蘆	
讃	讚	
遥	遙	
# 簡易慣用字体 (拡張新字体 allowed by the 表外漢字字体表)		
唖	啞	
噛	嚙	
屏	屛	屏
并	幷	并
弯	彎	
掻	搔	
撹	攪	
桝*²	枡	
沪*²	濾	
繍	繡	
蒋	蔣	
蝋	蠟	
醤	醬	
頴	穎	
鴎	鷗	
鹸	鹼	
麹	麴	
# 表外漢字だけに適用されるデザイン差*³		
叱*³	𠮟	
呑*³	吞	
栅*³	柵	
荊	荆*³	
靱	靭*³	
頽	頹*³	
﨟	臈*³	
𥡴*³	稽	
# JIS1 拡張新字体		
侠	俠	
侭	儘	
倶	俱	倶
剥	剝	
嘘	噓	
嚢	囊	
填	塡	
壷	壺	
屡	屢	
掴	摑	
梼	檮	
涛	濤	
涜	瀆	
溌	潑	
潅	灌	
澗	㵎	
焔	焰	
砺	礪	
砿	礦	
穐	龝	
竃	竈	
箪	簞	
篭	籠	
繋	繫	
莱	萊	
薮	藪	
蛎	蠣	
蝉	蟬	
蝿	蠅	
賎	賤	
躯	軀	
迩	邇	
醗	醱	
頚	頸	
頬	頰	
顛	顚	
騨	驒	
鯵	鰺	
鴬	鶯	
# JIS2 拡張新字体		
仭*³	仞	
伜	倅	
僣	僭	
册*³	冊	
刄*³	刃	
剱	劒	
劔*³	劒	
卆	卒	
妍	姸	
孳	孶	
尓	爾	
廐	廏	
廰	廳	
弑	弒	
忰	悴	
抬	擡	
攅	攢	
昿	曠	
杤	𣜜	
枦	櫨	
档	檔	
梹	檳	
椢	槶	
槞	櫳	
檪	櫟	
渊	淵	
珱	瓔	
畴	疇	
疂	疊	
禀	稟	
笄	筓	
筝	箏	
絋	纊	
緕	纃	
纉	纘	
翆	翠	
胼	腁	胼
舮	艫	
褝	襌	
譛	譖	
軣	轟	
輌	輛	
迸	逬	迸
釼*³	釰	
鈩	鑪	
鈬	鐸	
鑚	鑽	
閙	鬧	
陦	隯	
駢	騈	駢
鰛	鰮	
鷏	鷆	
麸	麩	
# JIS3 拡張新字体		
㬢	曦	
㸿	犢	
䉤	籔	
䦰	鬮	
䰗	鬮	
你	儞	
忩	悤	
曻*²	昇	
泻	瀉	
灎	灩	
瓉	瓚	
紣	綷	
蘒	蘒	
蹰	躕	
霻	靊	
鬂	鬢	
魲	鱸	
﨔	欅	
𡸴	嶮	
𥒎	碊	
# JIS4 拡張新字体		
㐮	襄	
㑪	儕	
㡡	幮	
㫖*³	旨	
㫪	舂	
㳃	淬	
㴞	滔	
㶚	灞	
㷔	熖	
䇳	箋	
䋆	纑	
䋝	纓	
䌫	纜	
䏮	脇	
䔥	蕭	
䡎	轤	
䬻	餞	
丬	爿	
俦	儔	
俲	傚	
呕	嘔	
嘨	嘯	
惮	憚	
揷	插	
栾	欒	
橺	橌	
殁	歿	
渗	滲	
灔	灧	
烬	燼	
瓯	甌	
瘘	瘻	
瞩	矚	
筹	籌	
筿	篠	
脍	膾	
萕	薺	
蝼	螻	
蟵	𧔋	
踌	躊	
鄷	酆	
鉨	鑈	
鍳	鑒	
馿	驢	
𠈓	倆	
𠑊	儼	
𠝏	劎	
𡉴	壚	
𡉻	埣	
𡋗	𡑭	
𡋤	壗	
𡵸	嶧	
𡸳	嶢	
𢡛	懣	
𢭏	擣	
𢭐	撈	
𢮦	撿	
𣇃	𮍨	
𣓤	橈	
𣟿	㰛	
𣠤	欟	
𣠽	欛	
𣴎	羕	
𥁊	盋	
𥆩	睨	
𥇥	瞼	
𥈞	瞞	
𥐮	礋	
𥫣	籅	
𥹥	𥼽	
𦙾	脛	
𦜝	臍	
𦾔	舊	
𧜎	襷	
𧦅	謳	
𧮾	谿	
𧯇	豅	
𨂻	蹈	
𨦇	鋏	
𨪙	鏘	
𨫍	鏸	
𨫝	鑵	
𨸟	䧢	
𨻫	隴	
𨿸	雞	
𩜙	饒	
𪎌	麳	
𪗱	齟	
𪘂	齧	
𪘚	齬	
# 漢検 拡張新字体		
俞	兪	
删*³	刪	
榆	楡	
# JIS 旧字体		
㑒	僉	
㓰	劃	
㠝	巑	
㧐	㩳	
㨈	擠	
㪘	斂	
㮣	槩	
㰖	欖	
㰱	歃	
㰸	歛	
㳽	瀰	
㾱	癈	
䃯	礫	
䅟	穇	
䇲	筴	
䓗	蔥	
䝙	貙	
䝲	贐	
䦧	鬩	
䦨	闌	
䲋	𩻛	
举	舉	
伛	傴	
侩	儈	
偻	僂	
傥	儻	
僴	僩	
兑	兌	
兹	茲	
刭	剄	
厉	厲	
呐	吶	
哙	噲	
唧	喞	
喻	喩	
喾	嚳	
塈	墍	
夹	夾	
奁	奩	
妆	妝	
妪	嫗	
姗*³	姍	
娄	婁	
娈	孌	
娦	嬪	
媪	媼	
媯	嬀	
孪	孿	
屦	屨	
屿	嶼	
岖	嶇	
峥	崢	
峦	巒	
崃	崍	
嵝	嶁	
巔	巓	
帱	幬	
帼	幗	
庐	廬	
廪	廩	
录	彔	
彚	彙	
徕	徠	
惬	愜	
愠	慍	
慭	憖	
懔	懍	
戬	戩	
抠	摳	
挛	攣	
挡	擋	
挣	掙	
捴	摠	
擞	擻	
昷	𥁕	
暨	曁	
棁	梲	
椭	橢	
椮	槮	
榅	榲	
櫕	欑	
欤	歟	
毵	毿	
氲	氳	
沤	漚	
泾	涇	
浃	浹	
浊	濁	
涞	淶	
涤	滌	
溇	漊	
溈	潙	
溉	漑	
滦	灤	
焘	燾	
煴	熅	
狝	獮	
狯	獪	
狰	猙	
猕	獼	
玙	璵	
玺	璽	
珰	璫	
疠	癘	
疩	瘁	
瘗	瘞	
癎	癇	
睁	睜	
硖	硤	
磵	礀	
秃*³	禿	
窭	窶	
箧	篋	
篓	簍	
簘	簫	
簮	簪	
粝	糲	
糁	糝	
緼	縕	
耧	耬	
联	聯	
脔	臠	
腽	膃	
荚	莢	
荟	薈	
荩	藎	
蒌	蔞	
蕰	薀	
蕳	蕑	
藴	蘊	
虿	蠆	
蛊	蠱	
蛱	蛺	
蜕	蛻	
裆	襠	
褛	褸	
襇	襉	
輼	轀	
迈	邁	
迳	逕	
郏	郟	
鄼	酇	
醖	醞	
銮	鑾	
鐧	鐗	
陉	陘	
陕	陜	
髅	髏	
鬝	鬜	
鵉	鸞	
黉	黌	
鿆	祓	
𠡍	勁	
𠡠	勑	
𠢎	舅	
𠯥	啐	
𠺠	嚨	
𡏡	壠	
𡢃	嫺	
𡨘	冤	
𡨚	冤	
𡱝	犀	
𡹴	嵊	
𡺃	嶈	
𢆍	臿	
𢊍	廚	
𢗜	懌	
𢝝	懸	
𢲣	攏	
𢽾	斅	斆
𣃁	斸	
𣅢	晬	
𣫅	觳	
𣷝	澆	
𣻌	漾	
𣿽	濺	
𤁋	瀝	
𤂣	瀟	
𤄵	灊	
𤋮	煕	
𤏐	燗	
𤗉	牕	
𤝊	猝	
𤥼	璁	
𤿲	麬	
𥁫	盞	
𥄌	睟	
𥅴	䀹	
𥘿	秦	
𥤿	窣	
𦅘	繝	
𦣞	𦣝	
𦬡	萃	
𦰏	蓧	
𧈡	蚤	
𧎅	𧏚	
𧚜	褫	
𧫆	讜	
𧰟	豔	
𧷢	贓	
𨂋	躋	
𨃸	躘	
𨩐	鏤	
𨷖	鬭	
𩄱	靇	
𩣭	驄	
𩥶	驌	
𩦪	驤	
𩭹	鬖	
𩰘	鬮	
𩷆	鱠	
𪎊	麨	
𪩘	巘	
𪫼	懟	
𪱨	朧	
𪷤	澟	
𫃵	縷	
𫘽	鬠	
𫝊	傳	
𫝓	協	
𫝚	囀	
𫝜	囃	
𫝵	嶹	
𫝼	撥	
𫞇	臘	
𫞋	樅	
𫞔	殲	
𫞬	痙	
𫟏	菟	
𫟰	鐺	
𫠃	隰	
𫠚	齣	
𫢺	傪	
𫮅	墋	
𫳭	寵	
𫽮	攩	
𬂩	梜	
𬂲	椏	
𬉇	㵤	
𬒈	礐	
𬠅	蟷	
𬩾	郲	
𬰁	霽	
𬳯	驂	
𭂁	寫	
𭇗	嚝	
𭌰	囓	
𭎜	壔	
𭛳	徯	
𭞁	慫	
𭞞	懽	
𭢫	擽	
𭢯	攘	
𭣄	攬	
𭤎	斄	
𭧽	曩	
𭬒	櫪	
𭮳	毀	
𭰑	滊	
𭱚	濚	
𭲠	瀲	
𭴷	舄	
𭶒	爍	
𭸍	猊	
𭸼	瑩	
𭼎	癆	
𭼰	癧	
𮂜	禳	
𮉸	罐	
𮋝*³	耆	
𮋹	聳	
𮌖*³	脂	
𮏔	蕘	
𮘦	謟	
𮘾	讞	
𮚅	賚	
𮛪	蹊	
𮜀	蹤	
𮝩	轢	
𮝬	轣	
𮞚	遶	
𮢚	鑅	
𮣏	鑠	
𮣐	鑲	
𮦷	靂	
𮧲	韜	
𮩁	饀	
𮪈	驍	
𮮄	麪	
𮮆	麭	
𮮾	齔	
𮯃	齠	
𮯅	齦	
𮯇	齪	
𮯋	齶	
𮯌	齲	
𮯎	齷	
𰆥	龐	
𰇼	嘇	
𰊈	墏	
𰋷	嬰	
𰕅	敺	𢿛
𰡽	璹	
𰰏	艜	
𰰠	藇	
𰴂	襂	
𱀧*²	陞	
𱂕	顇	
𱋐	麯	
𱯚	瓏	
𱳹	礑	
# 漢検 旧字体		
𪣻	塿	
𫫖	噁	
𰣽	癴	
# inherited		
冦		𭁵
寇		𡨥
攴		攵
敧		𢽽
敲		㪣
# The kyuji data has been combined from these sources: 常用漢字表・新字源［改訂新版］・新漢語林［第二版］・全訳漢字海［第四版］・新字源［改訂新版］・字通［普及版］・常用解字［第二版］・人名字解. The simplification patterns have then been applied to all characters in the JIS/漢検 range.		
# *¹ Overlapping characters. These characters with different meaning and usage were merged into one and thus cannot be accurately reverted back to their original forms. 予余台弁欠缶芸.		
# *² Novel simplification pattern introduced by the 表外漢字字体表. These characters (曻𱀧) are not mentionned but follow the same simplification patterns. 桝沪曻𱀧.		
# *³ 表外漢字だけに適用されるデザイン差. These are considered as design variations by the 表外漢字字体表 (not 新字). In reality any kanji dictionary will tell you that the relation is not a design variation but rather a 俗字. These characters (荆靭頹臈) are considered as design variations but the relation is actually the opposite thus the relation has been fixed. These characters (仭刄劔釼㫖秃𮋝𮌖册删姗) are not mentionned but have been extrapolated based on the variation patterns. 叱呑荆靭頹臈𥡴栅仭刄劔釼㫖秃𮋝𮌖册删姗.		
# *⁴ 人名用漢字. Depending on the source, 新字 forms that are 人名用漢字 are either consider as the de-facto standard (even though the scope of the 人名用漢字表 is strictly names) with the 旧字 listed as 旧字/異体字 or the opposite, the 旧字 form will be properly recorded as the main form with the 新字 being a 俗字. Of course, this ambiguity is only present in post-kanji reform sources. Two new simplification method not seen in the 常用漢字 are introduced (兎晋). These 人名用漢字 (亘凛桧熙祢祷) are not directly stated as being 新字 by most sources but follow the same simplification patterns. In addition, these simplified forms (芦祷) are both 人名用漢字 and 簡易慣用字体.		
# Non-destructive overlapping characters. These characters were also merged into one but do not have any recorded use within words and thus can be replaced without issue. 万体党医担浜灯糸胆虫蚕豊岳証亘.		
# These 旧字 are etymologically incorrect or have an irregular shape, refer to the adjacent column for the correct character. See I.Font Project's Inherited Glyph Standardization Documents. 竝倂敍甁餠暜𧭘屛幷俱腁逬騈斅敺.		
# Unsimplified 常用漢字. In addition to pre-existing inconsistencies, the 2010 常用漢字表 revision's additional characters largely adopted 旧字 forms instead of 新字. This means that the potential 新字 is thus a 拡張新字体. 剝塡籠頰虎卒箋脇濁協毀彙喩懸璽.		
# Unsimplified 人名用漢字. The 人名用漢字表 contains the 旧字 without adopting the corresponding 新字 as well. For these characters (繡蔣蠟醬鷗) the 新字 is part of the 簡易慣用字体. 繡蔣蠟醬鷗俠俱摑焰簞繫萊蟬顚爾廳淵稟翠轟篠徠勁犀秦傳寵驍.		
# These characters are 国字 and thus cannot strictly be considered as a 拡張新字体. However they use a simplified shape as one of their components and thus have been included. In once instance the corresponding 旧字 is an already existing character with a different meaning (枠) thus causing a merge. 枠栃䋆蟵.		
# Characters like 刑 and 邢 are not written originally as 幵 because they are derived from 井 and not from 干+干.		
# 並, the 旧字 is widely documented as being 竝 but it is in fact a 本字. All other characters containing the 竝 component are documented as being 本字 and not 旧字. 普/譜 have been forcefully added to the document for consistency.		
# 疊, the 常用漢字表 records the 新字 as being 畳 but this is an unusual simplification method as three identical stacked components should be simplified to 疂 instead of deleting two components. See 塁摂渋. 疂 has been included as a 拡張新字体.		
# 窓, the 旧字 should be 窻 as it follows the same simplification method of 悤 becoming 忩 (the upper part of 窓 is not 穴 but 宀+八, see 総聡) but is not recorded as such by any source. 窻 is instead recorded as 別体 even though it is etymologically and historically the correct forms. To be more precise, the 正字 is actually 窗. 窗 became corrupted as 窻 which then became corrupted as 窓.		
# 刹, the 旧字 should be 剎 as it follows the same simplification method of 𣏂 becoming 杀(殺-the 旧字 is not recorded in this document as the it doesn't exist in the unicode standard) but is not recorded as such by any source. 剎 is instead recorded as 別体 even though it is etymologically and historically the correct forms.		
# 兎, is either recorded as the 俗字/新字 of 兔 or as de-facto standard form because it is a 人名用漢字. Only 新漢語林 records it as a 新字. This simplification method is novel and not present in the 常用漢字表.		
# 亘, originally 亘(めぐる・もとめる・のべる) and 亙(わたる・つらなる・あまねし) are two distinct characters but 亙 has been corrupted to 亘 (identical to the corruption of 恒), then the original meaning of 亘 has disappeared. This character is not recorded anywhere as a 旧字 but should be.		
# 冊, sometimes recorded as the 新字 of 册 (全訳漢辞海・漢字源・字通) but it is not. It is just an alternate form (the 表外漢字字体表 agrees over this, as any pre-war dictionary).		
# 婿, is only recorded as being the 新字 of 壻 by the 新漢語林. The etymologically correct form is indeed 壻, as any pre-war dictionary will tell you.		
# 強, sometimes recorded as being the 新字 of 强 but this is incorrect, 强 is just an alternate form.		
# 翻, listed as having 飜 as 旧字(所謂康煕字典体) in the 常用漢字表 but that information is incorrect as it is in fact just an 異体字 and is recorded as such in all kanji dictionaries and thus was not included in this list.		
# 致, some sources may not correctly cite 𦤶 as the 旧字 due to the slight shape difference and its rarity in encoding standards (not recorded in JIS, Unicode extension B).		
# 衛, only the 新字源 considers 衞 as being the 本字 instead of the 旧字.		
# 褒, is only considered the 新字 of 襃 by the 新漢語林, the 字通 and the 常用漢字表. Other sources cite it as being either a 本字 or an unspecified 異体字. Of course, any pre-war dictionary will have 襃 as being the correct form. 		
# 覇, is only considered the 新字 of 霸 by the 漢字源, 字通 and the 常用漢字表. Other sources list it as either 本字/正字 or unspecified 異体字. Once again pre-war dictionary all have 霸 as the correct form.		
# 闘, the only source citing 鬭 as being the 旧字体 of 闘 is the 常用漢字表, all other sources cite 鬪 as being the 旧字 and 鬭 as being the 正字. The original 当用漢字表 of 1946 lists 鬪 without any associated 旧字. https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kakuki/syusen/tosin02/index.html. Once again, pre-war sources are unanimous on 鬭 being the correct form.		
# 隷, the only source not citing 隸 as the 旧字 is the 字通 that rather cites 隸 as a 異体字. Once again pre-war sources are unanimous as to 隸 being the correct form.		
# 餅, only the 新字源 considers the 旧字 餠 as being a 本字. Which is odd because all other instances of characters containing 𩙿/幷 are properly recorded as 旧字 by the same dictionary.		
# 拝, the 旧字体 (拜) is somewhat irregular as the shape of the 扌 changes for aesthetical reasons .		

